1,BFG9k,8416,5282577,4539,225,3650,2024-11-19 09:04:39.278,f,1639,5,White
2,mamalak,268,272470,137,10,121,2013-08-16 15:47:10.164,f,1403,-8,Black
3,dm09,5024,1571031,2241,132,2643,2024-03-19 12:22:08.975,f,1267,33,White
4,s_dvoryanchikov,7590,1610283,1626,264,5685,2021-11-15 01:57:36.864,f,1108,-10,Black
5,sbrad1,2370,1327710,1039,94,1185,,f,1387,-5,White
6,msun,622,321743,301,21,300,2014-12-17 17:40:48.856,f,1622,5,Black
7,Desmond_Wilson,777,431495,251,9,517,2014-07-21 16:03:08.954,f,1654,19,White
8,savinka59,10260,5372505,6604,232,3421,2015-08-18 14:12:55.425,f,1919,-22,Black
9,Tukeke,1415,723135,500,37,861,2017-10-29 02:24:18.756,f,1196,-5,White
10,_viper_,382,90611,170,17,193,,f,1667,2,Black
11,Kozakmamay007,5188,6936560,2815,403,1969,2024-11-21 07:45:03.659,f,1643,13,White
12,VanillaShamanilla,82,33905,35,1,46,,f,1747,-94,Black
13,Oz,1059,114316,614,28,417,,f,1649,38,White
14,chesss4,37597,13990070,19884,1025,16236,2024-11-16 13:28:48.808,f,1301,58,Black
15,manuel87,501,105418,188,8,303,,f,1637,-16,White
16,jojolapin,2430,621319,1180,54,1178,2015-01-31 01:23:20.286,f,1475,24,Black
17,Naitero_Nagasaki,2565,791826,1524,74,936,2013-07-12 04:01:04.793,f,1824,-6,White
18,800,0,0,0,0,0,,f,1973,8,Black
19,nichiren1967,43645,9452543,22842,1043,19751,2023-09-12 20:47:37.721,f,1765,-9,White
20,Atomicangel,8480,2383565,4351,116,3987,,f,1780,-13,White
21,Kol,3950,1030999,2218,159,1532,2024-11-21 14:40:20.982,f,1753,12,Black
22,sport,42634,18126777,20961,1491,20182,2024-11-21 21:25:20.994,f,1477,12,White
23,shamirbj,821,398782,394,16,411,2013-09-12 23:14:39.515,f,1487,-11,Black
24,tiggran,4661,1235833,2145,133,2378,2024-09-14 12:11:06.761,f,1541,-8,White
25,arion_6,5,0,4,0,1,,f,1500,196,Black
26,hostking,3215,2315503,1549,82,1584,,f,1765,10,White
27,troepianiz,15382,6784756,5303,547,9489,2018-12-02 06:42:09.988,f,1752,-10,Black
28,Krieg,39573,7916068,17893,1881,19721,2024-11-16 19:31:50.001,f,1628,-7,White
29,shaktimaan,17727,6007257,7477,867,9372,2024-11-21 01:00:58.664,f,1652,2,Black
30,dialup,466,310568,251,10,205,,f,1730,8,White
31,kinner,0,0,0,0,0,,f,1620,-8,Black
32,Krab1kovSUP,0,0,0,0,0,,f,1500,0,White
33,Sebxiii,444,172342,235,21,188,2018-10-15 11:52:26.639,f,1500,0,Black
34,kramer,0,0,0,0,0,,f,900,43,White
35,vadi,3261,3301946,2283,72,884,,f,1627,6,White
36,willain,6090,2553905,3499,120,2462,2020-05-25 11:30:06.176,f,1429,-6,Black
37,Beepie,0,0,0,0,0,,f,1724,0,Black
38,dkdk,6,1445,0,0,5,,f,1500,-163,White
39,iLucky,72,16904,25,1,45,,f,1500,162,Black
40,sidneycrode,29300,7327325,16778,1369,11131,2022-10-15 19:33:10.484,f,2181,2,Black
41,jackal,24,11962,12,0,12,,f,1573,26,White
42,krab1kovSUP4IK,34,18127,8,2,24,,f,1403,-18,Black
43,mensajero,1889,729291,978,41,861,,f,1559,-17,White
44,DarkNess123,0,0,0,0,0,,f,1333,114,Black
45,manos68,2941,3127214,1195,138,1607,2018-08-13 10:42:32.127,f,1445,4,White
46,jtkjtkful,97,40075,35,1,61,2017-02-11 22:14:01.481,f,1169,-15,Black
47,adamsrj,3052,1188082,1197,111,1712,2014-11-20 11:13:26.158,f,1522,-14,White
48,hamiakaz,3360,1579014,1953,132,1275,2024-08-27 09:38:24.212,f,1428,14,Black
49,Sagaz,4939,3188685,2317,146,2474,2023-07-28 19:30:52.984,f,1544,14,Black
50,Abd0,113628,20603262,49638,1466,62450,2024-11-21 06:25:26.168,f,1436,15,White
51,Killi,0,0,0,0,0,,f,1506,-14,Black
52,chinokoli,7192,1374421,3890,183,3118,2016-02-19 19:54:18.17,f,1940,-2,Black
53,Voltvolf,2350,887790,1176,110,1062,2018-12-27 14:00:16.526,f,1824,11,White
54,Marzinkus,616,433968,383,21,211,2016-12-03 05:15:08.359,f,1811,-11,Black
55,ghosty,4,1327,2,0,2,,f,1500,222,White
56,jorespi,1139,588289,630,18,491,,f,1585,-9,Black
57,6WX,56,0,21,3,31,2021-05-05 21:46:48.304,f,1463,62,White
58,georgek,11824,4922482,4914,271,6636,2016-11-26 13:23:02.782,f,1554,7,White
59,b777,0,0,0,0,0,,f,1429,-7,Black
60,sebastian44,328,203555,135,4,189,,f,1336,11,White
61,ticotico,172,36749,30,9,133,,f,1337,-41,Black
62,Federico,21976,7998305,12829,1096,7717,2024-11-21 17:16:06.997,f,1793,14,White
63,omarojo,348,0,156,6,186,,f,1421,43,White
64,josefo,115,0,74,1,40,,f,1491,-71,Black
65,cheesedout,33416,3955352,18074,493,14826,2021-01-10 12:37:28.073,f,1849,7,White
66,pseudoknight,47750,5748560,21665,1008,25059,2021-03-22 17:18:08.532,f,1728,-8,Black
67,j-jorjik,463,414367,213,20,230,,f,1548,8,White
68,jesuss,216,147130,90,1,125,,f,1415,-8,Black
69,barriosgb2,7175,1573921,3612,100,3457,2024-08-16 19:34:41.386,f,1561,-13,White
70,Boss92,1374,189963,561,15,797,2014-07-10 02:04:34.495,f,1503,14,Black
71,migsan,0,0,0,0,0,,f,1162,17,White
72,MARC0,83,30324,20,4,59,,f,1244,-21,Black
73,metrolog,6631,4456455,3022,135,3474,2014-11-27 22:09:55.474,f,1627,11,White
74,Ben_Dover,0,0,0,0,0,,f,1865,6,Black
75,Jonathan_52,0,0,0,0,0,,f,1500,-169,White
76,Milligan,366,214962,153,4,209,,f,1290,-14,Black
77,Sig,744,593766,631,26,87,2016-06-05 16:37:13.02,f,1907,6,Black
78,sonie,3120,576679,1602,72,1446,2013-07-04 10:53:25.329,f,1786,13,Black
79,Maroz,0,0,0,0,0,,f,1525,14,Black
80,1000,8903,1505359,3981,185,4733,,f,1646,3,Black
81,schutzstaffel,0,0,0,0,0,,f,1871,6,White
82,Rodney,3219,1606331,1610,62,1545,2016-07-31 09:41:05.216,f,1514,12,White
83,neto391994,3262,1048139,1442,75,1741,2022-09-01 19:35:32.233,f,1550,-22,Black
